trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,33,32,up,0.005,db,0.050086421541866974,1,0.00035651248072099406,97.93330861996492,97.93330861996492,98.2341794945255,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,34,33,down,0.005,db,0.05005759777690843,1,0.00034836189888665103,100.45866311744066,100.45866311744066,100.75953278450743,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,35,34,up,0.005,db,0.050086421541866974,0,0.0003429281782700855,102.8001420012456,102.8001420012456,103.10103129008348,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,36,35,up,0.005,db,0.05011526190389496,0,0.00032391015429311665,105.19180039406592,105.19180039406592,105.49276816998645,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,37,36,up,0.005,db,0.05014411887254918,0,0.00035138063321937807,107.51656726478859,107.51656726478859,107.81755043625253,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,38,37,up,0.005,db,0.05014411887254918,1,0.0003480600257717015,109.857990603889,109.857990603889,110.15881166933877,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,39,38,up,0.005,db,0.05017299245739193,0,0.0003550031137820042,112.31645237177418,112.31645237177418,112.61758134808815,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,40,39,up,0.005,db,0.05017299245739193,1,0.00037703987163695274,114.65801004453579,114.65801004453579,114.95910551290262,0,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,41,40,up,0.005,db,0.050201882667991006,0,0.00034655065883271163,116.98290551332548,116.98290551332548,117.28365020480624,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,42,41,up,0.005,db,0.050201882667991006,1,0.0003347775959809951,119.30794195699127,119.30794195699127,119.60912013866891,1,644290,001,2022-09-07_15h53.34.350,staircase procedure final,2022.2.2,59.74977453908613,
